Lionel Messi - #10 Delantero
Cristiano Ronaldo - #7 Delantero
Neymar Jr. - #10 Delantero
Kylian Mbappé - #7 Delantero
Kevin De Bruyne - #17 Mediocampista
Robert Lewandowski - #9 Delantero
Mohamed Salah - #11 Delantero
Sadio Mané - #10 Delantero
Karim Benzema - #9 Delantero
Luka Modrić - #10 Mediocampista
Sergio Ramos - #4 Defensa
Virgil van Dijk - #4 Defensa
Paul Pogba - #6 Mediocampista
N'Golo Kanté - #7 Mediocampista
Harry Kane - #10 Delantero
Erling Haaland - #9 Delantero
Antoine Griezmann - #7 Delantero
Raheem Sterling - #7 Delantero
Romelu Lukaku - #9 Delantero
Bruno Fernandes - #8 Mediocampista
Eden Hazard - #7 Delantero
Philippe Coutinho - #11 Mediocampista
Thiago Alcântara - #6 Mediocampista
Alisson Becker - #1 Portero
Manuel Neuer - #1 Portero
Gianluigi Donnarumma - #99 Portero
Jan Oblak - #13 Portero
Joshua Kimmich - #6 Mediocampista
Jorginho - #5 Mediocampista
Frenkie de Jong - #21 Mediocampista
Paulo Dybala - #21 Delantero
Pierre-Emerick Aubameyang - #14 Delantero
Son Heung-min - #7 Delantero
Zlatan Ibrahimović - #11 Delantero
João Félix - #7 Delantero
Sergio Agüero - #10 Delantero
Leroy Sané - #10 Delantero
Andrew Robertson - #26 Defensa
Trent Alexander-Arnold - #66 Defensa
Kalidou Koulibaly - #26 Defensa
Gerard Piqué - #3 Defensa
Aymeric Laporte - #14 Defensa
Jordi Alba - #18 Defensa
Dani Carvajal - #2 Defensa
Leonardo Bonucci - #19 Defensa
Ciro Immobile - #17 Delantero
Marco Verratti - #6 Mediocampista
Christian Pulisic - #10 Delantero
Ángel Di María - #11 Delantero
Mats Hummels - #15 Defensa
