Lionel Messi #10 Delantero
Cristiano Ronaldo #7 Delantero
Neymar Jr. #10 Delantero
Robert Lewandowski #9 Delantero
Kylian Mbappé #7 Delantero
Kevin De Bruyne #17 Mediocampista
Luka Modrić #10 Mediocampista
Mohamed Salah #11 Delantero
Virgil van Dijk #4 Defensa
Sergio Ramos #4 Defensa
Harry Kane #10 Delantero
Karim Benzema #9 Delantero
Paulo Dybala #21 Delantero
Eden Hazard #7 Delantero
Antoine Griezmann #7 Delantero
Erling Haaland #9 Delantero
Romelu Lukaku #9 Delantero
Sadio Mané #10 Delantero
N'Golo Kanté #7 Mediocampista
Joshua Kimmich #6 Mediocampista
Toni Kroos #8 Mediocampista
Thiago Silva #6 Defensa
Marcelo Vieira #12 Defensa
Gerard Piqué #3 Defensa
Alisson Becker #1 Portero
Manuel Neuer #1 Portero
Jan Oblak #13 Portero
Raheem Sterling #7 Delantero
Jadon Sancho #25 Delantero
Phil Foden #47 Mediocampista
Frenkie de Jong #21 Mediocampista
Casemiro #14 Mediocampista
Raphael Varane #19 Defensa
Jordi Alba #18 Defensa
Andy Robertson #26 Defensa
Trent Alexander-Arnold #66 Defensa
Marco Verratti #6 Mediocampista
Paul Pogba #6 Mediocampista
Sergio Busquets #5 Mediocampista
Christian Pulisic #10 Delantero
Zlatan Ibrahimović #11 Delantero
Sergio Agüero #10 Delantero
Gareth Bale #11 Delantero
Ciro Immobile #17 Delantero
James Rodríguez #10 Mediocampista
Edinson Cavani #21 Delantero
Gianluigi Donnarumma #99 Portero
Thiago Alcântara #6 Mediocampista
Pierre-Emerick Aubameyang #14 Delantero
Kalidou Koulibaly #26 Defensa
